"exam_type","hash_id","DOCTOR_ID","USER_ANSWER[Aortic Dissection - Type A]","USER_ANSWER[Aortic Dissection - Type B]","USER_ANSWER[Normal]"
"aortic dissection","04a3faf3453c701bb71c2ebe99969722","CV-R2 (1)",0,0,1
"aortic dissection","0f05c1a732a6cbfa74772fa2f2cffad8","CV-R2 (1)",0,0,1
"aortic dissection","0ffbc9ba966bcda2892597d2685291ab","CV-R2 (1)",1,0,0
"aortic dissection","17743be27ec900cb919a793e389e442d","CV-R2 (1)",0,0,1
"aortic dissection","19d7261516990569401e5377b90c1304","CV-R2 (1)",0,0,1
"aortic dissection","1a31ceb259703a3fce34b24bb44609e3","CV-R2 (1)",0,0,1
"aortic dissection","1b68131d83768e0a95ff2043b0dd72e1","CV-R2 (1)",1,0,0
"aortic dissection","1cad10dd95573230240fb751a435a88e","CV-R2 (1)",0,0,1
"aortic dissection","20446bf9b2be196ddeee06e057b44b12","CV-R2 (1)",1,0,0
"aortic dissection","20e65db89ba4dc9fb867406b2a7136f7","CV-R2 (1)",0,0,1
"aortic dissection","220f79b9e628e9d691fc8c742353ffe1","CV-R2 (1)",0,0,1
"aortic dissection","22ea434599cf87cb5468dfa5e99b7fcc","CV-R2 (1)",1,0,0
"aortic dissection","26face5b88db175a63d1086522d86945","CV-R2 (1)",1,0,0
"aortic dissection","2820af3d34251be004695e4bd5ef06e5","CV-R2 (1)",0,0,1
"aortic dissection","284353d76620437814d994718f739803","CV-R2 (1)",0,0,1
"aortic dissection","290a122fe9e702facf672fff476873ba","CV-R2 (1)",1,0,0
"aortic dissection","2bc61965fb0267d061c830ac6a6f9f45","CV-R2 (1)",1,0,0
"aortic dissection","2da2fe3c2c3021900548d484cb76bd8f","CV-R2 (1)",0,0,1
"aortic dissection","2fdec0408fb30e570649afe74b8ae366","CV-R2 (1)",0,0,1
"aortic dissection","306f2de810a0375293c14c3c2550c740","CV-R2 (1)",0,0,1
"aortic dissection","30eb61cd1a13088636175da98ef553a0","CV-R2 (1)",1,0,0
"aortic dissection","318f3bc1f95799c748857ec197e97f8c","CV-R2 (1)",0,1,0
"aortic dissection","32d752904d87f71f8afc476b544db001","CV-R2 (1)",0,0,1
